,fecha,AGUACHICA,BARRANQUILLA,BELLO,BOGOTA,BUENAVENTURA,CALI,CARTAGENA DE INDIAS,CUCUTA,DOSQUEBRADAS,FLORIDA,IBAGUE,IPIALES,ITAGUI,MALAMBO,MEDELLIN,MOSQUERA,NEIVA,PALERMO,PALMIRA,PASTO,PEREIRA,SAN CRISTOBAL,SAN JUAN DEL CESAR,SANTA MARTA,VALLEDUPAR,VILLAVICENCIO,YUMBO,DAGUA,CIENAGA,COPACABANA,SOLEDAD,CARTAGENA,ENVIGADO,ESPINAL,FLORIDABLANCA,SAN FRANCISCO,TENJO,ZIPAQUIRA,VILLAMARIA,VILLA DEL ROSARIO,ARMENIA,JAMUNDI,PUERTO COLOMBIA,SAN MARTIN,RIOHACHA,SONSON,TUNJA,TURBACO,VILLAPINZON,CALAMAR,EL COLEGIO,SIBATE,RIO DE ORO,PUEBLOVIEJO,MELGAR,POPAYAN,RIONEGRO,TOGUI,BARRANCABERMEJA
18,2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2020-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2020-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2020-03-28,,,,16.0,,4.0,,,1.0,,,,,,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
30,2020-03-29,,,,16.0,,5.0,,,1.0,,,,,,3.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
33,2020-03-30,,,,17.0,,5.0,,,1.0,,,,,,3.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
34,2020-03-31,,,,19.0,,6.0,,,1.0,,,,,,3.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,
13,2020-04-01,,,,24.0,,7.0,,,1.0,,1.0,,1.0,,4.0,,2.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,
31,2020-04-02,,2.0,,26.0,,7.0,,,1.0,,,,1.0,,4.0,,1.0,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,2.0,,
35,2020-04-03,,3.0,,26.0,,9.0,,,1.0,,,,1.0,,4.0,,1.0,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,2.0,,
36,2020-04-04,,2.0,,28.0,,13.0,,,1.0,,,,1.0,,4.0,,1.0,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,
37,2020-04-05,,3.0,,28.0,,16.0,,,1.0,,1.0,,1.0,,4.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,
38,2020-04-06,,3.0,1.0,34.0,,19.0,,1.0,1.0,,1.0,,1.0,,3.0,1.0,2.0,,1.0,,,,,,1.0,,,,,,,2.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0
39,2020-04-07,,2.0,1.0,32.0,1.0,20.0,,1.0,1.0,,1.0,,1.0,,3.0,1.0,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,,2.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
40,2020-04-08,,2.0,1.0,38.0,1.0,21.0,,1.0,2.0,,1.0,,1.0,,3.0,1.0,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,,2.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
41,2020-04-09,,2.0,1.0,36.0,1.0,22.0,,1.0,2.0,,,,1.0,,3.0,1.0,2.0,,1.0,1.0,1.0,,,2.0,1.0,,,,,,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
4,2020-04-10,,2.0,1.0,35.0,1.0,21.0,,1.0,2.0,,,,1.0,,5.0,1.0,2.0,,1.0,1.0,1.0,,,2.0,1.0,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,2020-04-11,,2.0,1.0,31.0,2.0,23.0,,1.0,2.0,,2.0,1.0,1.0,,5.0,1.0,2.0,,2.0,2.0,1.0,,,2.0,1.0,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
6,2020-04-12,,2.0,,47.0,2.0,22.0,,1.0,2.0,1.0,1.0,1.0,1.0,,5.0,1.0,2.0,,2.0,2.0,1.0,,,2.0,,1.0,,,,,,2.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,2020-04-14,,2.0,1.0,42.0,2.0,23.0,,1.0,2.0,1.0,1.0,1.0,1.0,,5.0,1.0,3.0,,2.0,2.0,1.0,1.0,,2.0,,1.0,,,,,,3.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
8,2020-04-15,,2.0,,43.0,2.0,22.0,,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,3.0,,2.0,1.0,2.0,1.0,,2.0,,1.0,,,,,,2.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
9,2020-04-16,,5.0,,39.0,2.0,22.0,,1.0,,1.0,1.0,1.0,1.0,,5.0,1.0,3.0,,2.0,1.0,1.0,1.0,,4.0,,,,,1.0,,,4.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10,2020-04-17,,5.0,1.0,44.0,2.0,24.0,,1.0,,1.0,1.0,,1.0,,8.0,1.0,2.0,,2.0,1.0,1.0,1.0,,4.0,,,,,1.0,,,3.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
11,2020-04-18,,4.0,1.0,42.0,2.0,23.0,,1.0,,1.0,1.0,,,,8.0,1.0,1.0,,2.0,1.0,1.0,1.0,,3.0,,,,,1.0,,,3.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,
12,2020-04-19,,4.0,2.0,36.0,2.0,24.0,2.0,1.0,,1.0,1.0,,,,6.0,1.0,1.0,,2.0,1.0,1.0,1.0,,3.0,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,
14,2020-04-20,,4.0,1.0,32.0,2.0,24.0,2.0,2.0,,1.0,1.0,,,,7.0,1.0,2.0,,2.0,,1.0,1.0,,3.0,1.0,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,
15,2020-04-21,,5.0,1.0,35.0,2.0,25.0,3.0,2.0,,1.0,1.0,,1.0,,8.0,1.0,4.0,,2.0,,2.0,1.0,,3.0,2.0,,,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,
16,2020-04-22,,5.0,1.0,35.0,1.0,25.0,3.0,2.0,,1.0,1.0,,1.0,,6.0,1.0,4.0,,2.0,,2.0,1.0,,4.0,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,
17,2020-04-23,,3.0,1.0,37.0,2.0,35.0,9.0,2.0,1.0,1.0,1.0,2.0,1.0,,8.0,1.0,3.0,,1.0,1.0,1.0,1.0,,2.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,
19,2020-04-24,,3.0,1.0,38.0,2.0,34.0,8.0,2.0,1.0,1.0,1.0,2.0,1.0,,8.0,1.0,3.0,,1.0,1.0,1.0,1.0,,2.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,
21,2020-04-25,,3.0,1.0,39.0,3.0,33.0,8.0,2.0,1.0,1.0,1.0,2.0,1.0,,8.0,1.0,3.0,,1.0,1.0,1.0,1.0,,2.0,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,
23,2020-04-26,,3.0,1.0,39.0,2.0,34.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,,8.0,1.0,3.0,,1.0,,,1.0,,2.0,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,
25,2020-04-27,1.0,3.0,1.0,38.0,2.0,34.0,7.0,1.0,1.0,1.0,1.0,3.0,1.0,,7.0,1.0,2.0,,1.0,,1.0,1.0,,2.0,1.0,,1.0,,,,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,
27,2020-04-28,1.0,3.0,1.0,36.0,2.0,31.0,6.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,8.0,1.0,2.0,,1.0,,2.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,
29,2020-04-29,1.0,3.0,1.0,36.0,2.0,32.0,8.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,8.0,1.0,2.0,,1.0,,2.0,1.0,,1.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
32,2020-04-30,1.0,3.0,1.0,36.0,2.0,33.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,10.0,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2020-05-01,1.0,3.0,1.0,39.0,2.0,33.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-05-03,1.0,6.0,1.0,39.0,1.0,34.0,9.0,1.0,1.0,,1.0,3.0,1.0,3.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020-05-04,1.0,6.0,1.0,39.0,,33.0,9.0,1.0,1.0,,1.0,3.0,1.0,3.0,8.0,1.0,2.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2020-05-05,1.0,7.0,1.0,38.0,,36.0,9.0,1.0,1.0,,1.0,3.0,1.0,3.0,8.0,1.0,3.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
